ds,yhat,yhat_lower,yhat_upper
2015-01-31,948.5495781763191,-1436.795907565119,3595.41970464192
2015-02-01,1084.5191207805,-1678.9667597014895,3675.3474757639465
2015-02-02,1278.734781248577,-1314.3938768856506,4025.053885989798
2015-02-03,574.2197901223637,-1888.2201856879694,3066.350330776316
2015-02-04,-413.8604614194205,-3024.8811325281895,2158.8485987872864
2015-02-05,672.9843481504573,-1875.3866181167698,3249.806363222969
2015-02-06,1130.5293155440488,-1462.281811328837,3784.893507449296
2015-02-07,748.5626518730005,-1767.0794307488811,3096.079699509096
2015-02-08,838.7375227357109,-1640.2707535970324,3401.302767563878
2015-02-09,992.3632038690494,-1354.7585285601485,3555.487950952687
2015-02-10,253.67370430485266,-2458.9691383313007,2774.8688382493756
2015-02-11,-761.1005440564486,-3540.1116729926434,1782.0766489539246
2015-02-12,307.4242489827807,-2445.708848370157,2968.757515221327
2015-02-13,755.723269794891,-1512.7891152400193,3288.0591904132707
2015-02-14,374.07419285429705,-2367.267269046371,3006.3776242840368
2015-02-15,474.39675383513554,-2084.558362428005,3121.3506883825726
2015-02-16,648.0369170280903,-2024.944394751162,3301.2549782396595
2015-02-17,-60.96604237536462,-2804.642271970981,2457.096995086607
2015-02-18,-1036.8039073839002,-3413.2064059507793,1516.2344599617284
2015-02-19,79.26673981691215,-2699.3375552838284,2767.2593521583217
2015-02-20,582.877029745213,-2016.4897051641535,3152.099028112065
2015-02-21,263.2761639764151,-2504.6477574380287,2721.1486541451754
2015-02-22,431.19457240836186,-2024.5712111196517,3048.676950499409
